,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),0.001871850278884341,4.0,1.0110676948857236,0.4089721493069184,0.047554213878900894,0.06314804947134663
C(reasoning),0.0019674227742234552,2.0,2.1253811072810636,0.12828887238525385,0.04998222584949789,0.06615893832304938
C(temperature):C(reasoning),0.007752775242275697,8.0,2.093805439889867,0.05034640486169384,0.19695866500923614,0.2182455599093224
Residual,0.02777039987064231,60.0,,,0.7055048952623652,0.5
