,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),0.0001974932417695444,4.0,7.35227582420798,6.906020166630874e-05,0.052876900188834106,0.3289273934354959
C(reasoning),0.0030719858561728684,2.0,228.7276986318795,8.479102327614467e-29,0.8224944207858581,0.8840479772415696
C(temperature):C(reasoning),6.256077551440429e-05,8.0,1.1645058667247739,0.3354283191027809,0.01675004092783769,0.134399570458709
Residual,0.00040292267283950666,60.0,,,0.10787863809747013,0.5
