,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),0.0001877652215506945,4.0,0.11271204278410991,0.9775876754498639,0.004488661779944734,0.007458095043763288
C(reasoning),0.0023176997449417328,2.0,2.782545890609069,0.06988070966175841,0.05540626840577514,0.08487888341235147
C(temperature):C(reasoning),0.014337273028216607,8.0,4.303201939150158,0.0003880725012073308,0.34274275576115254,0.36457920158739504
Residual,0.02498826437433253,60.0,,,0.5973623140531276,0.5
