,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),0.002560087458519664,4.0,1.1879055602481876,0.3253622515866825,0.047436727726164994,0.07338228876039816
C(reasoning),0.014379748828904006,2.0,13.34468752774934,1.6053190063984303e-05,0.26644723706501444,0.3078736585471068
C(temperature):C(reasoning),0.004701723951231133,8.0,1.0908228947086656,0.38213122675493505,0.08711983576026208,0.12697536756118374
Residual,0.03232690641650993,60.0,,,0.5989961994485585,0.5
