,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),9.018186687242917e-05,4.0,1.679759286044706,0.16649429906239518,0.029030784331076642,0.10070644649231204
C(reasoning),0.0018556519407407655,2.0,69.12805616533849,2.6775644942176e-16,0.5973599034204368,0.697361159287113
C(temperature):C(reasoning),0.0003552775572016449,8.0,3.3087625956831506,0.0033955002845145006,0.1143687361826609,0.3061185372879425
Residual,0.0008053106265432102,60.0,,,0.2592405760658257,0.5
