,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq
C(temperature),0.0030035886216356247,4.0,1.6515416058988004,0.1731782747666385,0.06288967341705862,0.09918250483869569
C(reasoning),0.013576527448432194,2.0,14.930273595525001,5.463434573378536e-06,0.2842677493246986,0.33229874649621627
C(temperature):C(reasoning),0.0038996678874269873,8.0,1.0721281401322447,0.39467684537688186,0.08165194065148716,0.12507140847706746
Residual,0.027279863349258596,60.0,,,0.5711906366067556,0.5
