n_runs,mean_icc,delta_icc
2,0.9030062360691609,
3,0.8886241745973665,0.014382061471794327
4,0.9048663654426349,0.016242190845268345
5,0.9018575883453177,0.0030087770973171724
6,0.8895099710866401,0.012347617258677612
7,0.8925636130775881,0.0030536419909480417
8,0.8918205567445552,0.0007430563330329543
9,0.8928485438252685,0.0010279870807132774
10,0.8827579384706411,0.010090605354627358
